Keywords,Title,URL,Views,Upload Date,Duration
abortion rights,Abortion Laws: Last Week Tonight with John Oliver (HBO),https://www.youtube.com/watch?v=DRauXXz6t0Y,"10,960,186",5 years ago,16 minutes
abortion rights,Dave Chappelle's Abortion Stance | Netflix Is A Joke,https://www.youtube.com/watch?v=MoudH-RPnEE,"6,169,674",2 years ago,"2 minutes, 3 seconds"
abortion rights,Weekend Update: Goober the Clown on Abortion - SNL,https://www.youtube.com/watch?v=exSZQICbSb8,"1,518,606",3 months ago,"3 minutes, 57 seconds"
abortion rights,The Satanic Temple's Fight to Protect Your Abortion Rights,https://www.youtube.com/watch?v=1r98-33BrMk,"1,265,947",5 years ago,"14 minutes, 4 seconds"
abortion rights,Two Marches: Pro-Life vs. Pro-Abortion,https://www.youtube.com/watch?v=6cCQwWkIPS0,"729,347",3 years ago,"7 minutes, 36 seconds"
abortion rights,Abortion Debate: Why Do Liberals Hate Right to Life?,https://www.youtube.com/watch?v=BaKf7E3pxTU,"561,711",2 years ago,"6 minutes, 44 seconds"
abortion rights,These Supreme Court Decisions Could Decide the Future of Abortion Rights,https://www.youtube.com/watch?v=dk3ikm7OHUQ,"510,423",3 months ago,7 minutes
abortion rights,Pro-Abortion Students Get Cozy With Satan,https://www.youtube.com/watch?v=Iv6q5iYq8h0,"375,497",3 years ago,"3 minutes, 6 seconds"
abortion rights,Pro and anti-abortion rights activists on future of Alabama abortion bill,https://www.youtube.com/watch?v=6ssJD4mfYBU,"306,213",2 years ago,"9 minutes, 15 seconds"
abortion rights,Texas valedictorian Paxton Smith goes viral for her speech about abortion rights,https://www.youtube.com/watch?v=XpJkErsb7UE,"302,090",8 months ago,"3 minutes, 28 seconds"
abortion rights,AOC Breaks Down the Issues With Texas' New Abortion Law,https://www.youtube.com/watch?v=WyJZYYSQMZE,"298,691",5 months ago,"3 minutes, 50 seconds"
abortion rights,'You Think Abortion Is Essential To Equality': Blackburn Questions Pro-Abortion Rights Witness,https://www.youtube.com/watch?v=bv3w1qhgP-w,"285,362",4 months ago,"7 minutes, 23 seconds"
abortion rights,Abortion Rights Are Pro-Choice Men's Rights,https://www.youtube.com/watch?v=o950k2HffWw,"245,635",2 months ago,"2 minutes, 53 seconds"
abortion rights,Pro-Life vs. Pro-Abortion -- Amazing Contrast of 2 Marches,https://www.youtube.com/watch?v=c53Pu2Vi6iw,"229,434",2 years ago,"9 minutes, 11 seconds"
abortion rights,Pro-Choice and Anti-Abortion: Both Sides of the 'Heartbeat' Bill,https://www.youtube.com/watch?v=9H69Kjm-vfY,"222,695",2 years ago,31 minutes
abortion rights,What It’s Like Trying to Get an Abortion in Texas Right Now,https://www.youtube.com/watch?v=pDxuPKcNo24,"204,122",4 months ago,"13 minutes, 29 seconds"
abortion rights,Gravitas Plus: Why are women being denied the Right to abortion?,https://www.youtube.com/watch?v=PFYZxkEPDxk,"146,209",8 months ago,"9 minutes, 19 seconds"
abortion rights,Pro-Life vs. Pro-Abortion – Incredible CONTRAST,https://www.youtube.com/watch?v=Nc6yBZEVq0Q,"127,502",11 months ago,19 minutes
abortion rights,Abortion isn't on any woman's bucket list | Amanda Bradley | TEDxSouthBank,https://www.youtube.com/watch?v=5TEWHGxtkkM,"118,510",5 years ago,"14 minutes, 12 seconds"
abortion rights,"Brooks and Capehart on the future of abortion rights, government funding brinkmanship",https://www.youtube.com/watch?v=u5mRqQ5UnUk,"112,827",2 months ago,"12 minutes, 28 seconds"
women rights,Shining a Light on Women’s Rights | The Truth Has a Voice | The New York Times,https://www.youtube.com/watch?v=bPblzhUzTeg,"12,689,337",3 years ago,51 seconds
women rights,Men's Rights vs Feminism: Is Toxic Masculinity Real? | Middle Ground,https://www.youtube.com/watch?v=hOUGNGWmN0k,"11,498,839",2 years ago,24 minutes
women rights,Impractical Jokers – Q Versus Women's Rights (Punishment) | truTV,https://www.youtube.com/watch?v=ae4JmMbu9oo,"8,919,517",5 years ago,"4 minutes, 47 seconds"
women rights,Do All Women Think the Same? | Spectrum,https://www.youtube.com/watch?v=4OB8EfHMG4U,"7,670,475",2 years ago,"10 minutes, 47 seconds"
women rights,Women’s rights THEN VS NOW ✨🥵🥳 #Shorts,https://www.youtube.com/shorts/ekqaCguhTp4,"6,223,203",7 months ago,56 seconds
women rights,Financial RIGHTS of Women in Islam #shorts,https://www.youtube.com/shorts/2ggAKGiI71s,"6,135,154",1 year ago,57 seconds
women rights,SHADOWS Short Film Women's Human Rights,https://www.youtube.com/watch?v=i4u0z0g95y4,"4,805,962",8 years ago,22 minutes
